Noun	Region	Condition	Script	ID	predictability_weight	deletion_rate	autoencoder	lm	Surprisal	SurprisalReweighted	ThatFraction	ThatFractionReweighted
125	message	V2_0	SC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	11.694	11.699	100	99.024
126	message	V2_0	SC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.002	10.001	100	99.048
127	message	V2_0	SCRC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.373	10.362	98.81	98.071
128	message	V2_0	SCRC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	8.973	8.935	98.643	97.762
129	myth	V2_0	SC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	12.229	12.232	100	99.762
130	myth	V2_0	SC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.48	10.479	100	99.786
131	myth	V2_0	SCRC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.675	10.64	98.405	97.571
132	myth	V2_0	SCRC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.068	9.005	98.548	97.786
133	news	V2_0	SC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	11.918	11.922	100	99.048
134	news	V2_0	SC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.168	10.163	100	99.024
135	news	V2_0	SCRC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.944	10.934	97.69	97.524
136	news	V2_0	SCRC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.567	9.51	97.714	97.595
137	notion	V2_0	SC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	12.332	12.332	100	99.048
138	notion	V2_0	SC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.821	10.82	100	99.071
