"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"Item232_Critical_3:EmbBias.C:SC.C"	-0.067	0.14	-0.48	0.631
"Item232_Critical_30:EmbBias.C:SC.C"	-0.049	0.14	-0.353	0.724
"Item232_Critical_4:EmbBias.C:SC.C"	0.192	0.14	1.368	0.171
"Item232_Critical_5:EmbBias.C:SC.C"	-0.261	0.14	-1.86	0.063
"Item232_Critical_6:EmbBias.C:SC.C"	-0.364	0.14	-2.599	0.009
"Item232_Critical_7:EmbBias.C:SC.C"	-0.349	0.14	-2.494	0.013
"Item232_Critical_8:EmbBias.C:SC.C"	0.174	0.14	1.241	0.215
"Item232_Critical_9:EmbBias.C:SC.C"	-0.002	0.14	-0.018	0.986
"Item238_Critical_Vadv2:EmbBias.C:SC.C"	-0.15	0.14	-1.068	0.285
"Item238_Critical_Vadv3:EmbBias.C:SC.C"	-0.22	0.14	-1.568	0.117
"Item238_Critical_Vadv5:EmbBias.C:SC.C"	-0.687	0.14	-4.907	0
"Item238_Critical_Vadv6:EmbBias.C:SC.C"	-0.295	0.14	-2.103	0.035
