ID	deletion_rate	predictability_weight	AICRaw	AIC	AICFull	N	None
378	652245833	0.8	1	5407.524	5355.399	4684.904	5332	
379	767031175	0.65	0	5399.358	5352.543	4689.684	5332	
380	518698173	0.4	0.75	4663.25	4679.036	4180.149	4769	
381	457975418	0.9	0.75	5170.917	5143.596	4498.251	5117	
382	434949589	0.5	0.75	4982.952	4995.496	4674.508	5332	
383	119474797	0.85	0.5	5392.998	5350.742	4682.728	5332	
384	408460062	0.45	0.25	5160.225	5174.674	4661.213	5332	
385	182221172	0.65	1	4937.818	4945.718	4684.705	5332	
386	658302287	0.45	1	5383.661	5343.864	4677.32	5332	
387	73086992	0.05	0	5147.963	5149.344	4541.771	5178	
388	19186225	0.25	0.75	5265.033	5275.153	4673.685	5332	
389	742793765	0.25	1	5277.3	5283.676	4680.116	5332	
390	770398364	0.55	0.75	5159.034	5176.415	4679.139	5332	
391	212545241	0.5	1	4287.597	4298.363	4152.563	4717	
392	184991235	0.5	1	4887.618	4894.458	4660.803	5332	
393	966986941	0.45	0.75	4994.265	5010.52	4568.706	5210	
394	677968266	0.6	0.25	5315.11	5301.788	4696.1	5332	
395	819210553	0.65	1	4964.739	4979.586	4682.18	5332	
396	413238426	0.7	1	5277.958	5279.194	4687.053	5332	
397	727226097	0.4	0.25	5241.72	5255.315	4673.414	5332	
398	983873654	0.4	0.75	5204.587	5220.993	4680.549	5332	
399	213551752	0.25	0.75	5283.08	5289.439	4680.615	5332	
400	793080706	0.15	0.25	5268.875	5268.753	4650.108	5300	
401	172253483	0.55	1	4893.926	4909.822	4687.417	5332	
402	127162664	0.7	1	4354.217	4368.345	3995.605	4501	
403	603665607	0.95	0.5	5275.773	5250.559	4608.297	5248	
404	525213849	0.6	0.75	5394.921	5350.193	4685.683	5332	
405	985322750	0.7	0.5	5229.339	5235.655	4681.444	5332	
406	43333424	0.2	1	3857.581	3868.089	3446.455	3911	
407	331227478	0.55	1	4833.355	4843.612	4670.053	5332	
408	260159420	0.5	0.5	5332.819	5317.285	4672.881	5332	
409	980144451	0.35	1	5218.018	5233.624	4680.99	5332	
410	144932302	0.1	0.75	5302.885	5303.615	4679.527	5332	
411	942190666	0.9	0	4823.921	4814.145	4307.525	4836	
412	891385465	0.5	0.75	5153.76	5165.849	4683.294	5332	
413	130595271	0.75	1	5302.233	5297.794	4686.905	5332	
414	941811775	0.55	0.75	5057.095	5071.258	4651.037	5302	
415	124376432	0.4	0.75	5253.525	5263.659	4687.612	5332	
416	792103452	0.35	1	5234.932	5247.266	4682.332	5332	
417	253832905	0.6	0.75	5122.483	5136.871	4656.362	5304	
418	889556645	0.5	1	4767.256	4780.268	4642.359	5303	
419	596827225	0.5	0.75	4986.93	4997.313	4665.441	5332	
420	208134486	0.65	0.25	5183.306	5197.78	4684.34	5332	
421	771817607	0.45	0.75	5235.788	5220.633	4614.943	5165	
422	518727588	0.55	0	5218.959	5232.956	4675.533	5332	
423	347636066	0.3	1	5280.823	5285.087	4689.488	5332	
424	789425709	0.65	1	5250.499	5255.284	4682.83	5332	
425	186740217	0.55	0.75	5414.864	5356.418	4689.798	5332	
426	415874148	0.65	1	4939.977	4954.615	4691.286	5332	
427	658549494	0.85	0.5	5363.046	5338.037	4693.521	5332	
428	813448630	0.75	1	5374.958	5342.542	4693.755	5332	
429	954613578	0.95	1	2883.901	2878.248	2623.112	2785	
430	98533753	0.8	0.75	5108.617	5106.319	4535.387	5161	
431	245600212	0.6	0	5175.689	5183.276	4644.508	5294	
432	547400035	0.75	0	5422.687	5353.37	4717.89	5332	
